description,nom_localisation,salarie_nombre,telephone
Conseil en systèmes et logiciels informatiques,"HTEL NORD,SECLIN",0 salarié,Modifier ces informations
Activités des agences de publicité,"ADREXO,FRETIN",200 à 249 salariés,0320629999
Conseil en systèmes et logiciels informatiques,"G5K FRANCE,LILLE",20 à 49 salariés,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"BORN'ONE,MARCQ-EN-BAROEUL",10 à 19 salariés,0320207720
Recherche-développement en sciences humaines et sociales,"CNRS MOY1800 HAUTS-DE-FRANCE,LILLE",500 à 999 salariés,0320125800
Programmation informatique,"CERISE MEDIA,TOURCOING",100 à 199 salariés,0320234071
Conseil en systèmes et logiciels informatiques,"SERVENTIC,VILLENEUVE-D-ASCQ",0 salarié,Modifier ces informations
Vente à distance sur catalogue spécialisé,"DAMART,ROUBAIX",200 à 249 salariés,Modifier ces informations
Programmation informatique,"INSITACTION,LILLE",20 à 49 salariés,Modifier ces informations
Édition de jeux électroniques,"ADICTIZ,LILLE",20 à 49 salariés,0698871001
Fabrication de produits électroniques grand public,"SOC EXPLOITATION ETS NORMAND,HENIN-BEAUMONT",20 à 49 salariés,0391830070
,,,
,,,
Conseil en systèmes et logiciels informatiques,"IT-ROOM,HEM",20 à 49 salariés,0320828245
"Traitement de données, hébergement et activités connexes","PARAGON BUSINESS PROCESS SERVICES,MARCQ-EN-BAROEUL",100 à 199 salariés,0320121212
Programmation informatique,"LOGIC@L CONSEILS,ROUBAIX",6 à 9 salariés,Modifier ces informations
Edition de logiciels applicatifs,"KEYNEOSOFT,TOURCOING",20 à 49 salariés,0362648132
Conseil en systèmes et logiciels informatiques,"IBM SERVICES CENTER FRANCE,LILLE",0 salarié,0320187430
Conseil en systèmes et logiciels informatiques,"CAPGEMINI TECHNOLOGY SERVICES,LILLE",0 salarié,https://www.fr.sogeti.com/rejoignez-nous/nos-offres-demploi/
Formation continue d'adultes,"HORTIBAT,BEAUVOIS-EN-CAMBRESIS",20 à 49 salariés,Modifier ces informations
Programmation informatique,"ANTENIA,LILLE",20 à 49 salariés,Modifier ces informations
Programmation informatique,"KPF SI,LILLE",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"HTEL NORD,SECLIN",0 salarié,Modifier ces informations
Activités des agences de publicité,"ADREXO,FRETIN",200 à 249 salariés,0320629999
Conseil en systèmes et logiciels informatiques,"G5K FRANCE,LILLE",20 à 49 salariés,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"BORN'ONE,MARCQ-EN-BAROEUL",10 à 19 salariés,0320207720
Recherche-développement en sciences humaines et sociales,"CNRS MOY1800 HAUTS-DE-FRANCE,LILLE",500 à 999 salariés,0320125800
Programmation informatique,"CERISE MEDIA,TOURCOING",100 à 199 salariés,0320234071
Conseil en systèmes et logiciels informatiques,"SERVENTIC,VILLENEUVE-D-ASCQ",0 salarié,Modifier ces informations
Vente à distance sur catalogue spécialisé,"DAMART,ROUBAIX",200 à 249 salariés,Modifier ces informations
Programmation informatique,"INSITACTION,LILLE",20 à 49 salariés,Modifier ces informations
Édition de jeux électroniques,"ADICTIZ,LILLE",20 à 49 salariés,0698871001
Fabrication de produits électroniques grand public,"SOC EXPLOITATION ETS NORMAND,HENIN-BEAUMONT",20 à 49 salariés,0391830070
,,,
,,,
Conseil en systèmes et logiciels informatiques,"IT-ROOM,HEM",20 à 49 salariés,0320828245
"Traitement de données, hébergement et activités connexes","PARAGON BUSINESS PROCESS SERVICES,MARCQ-EN-BAROEUL",100 à 199 salariés,0320121212
Programmation informatique,"LOGIC@L CONSEILS,ROUBAIX",6 à 9 salariés,Modifier ces informations
Edition de logiciels applicatifs,"KEYNEOSOFT,TOURCOING",20 à 49 salariés,0362648132
Conseil en systèmes et logiciels informatiques,"IBM SERVICES CENTER FRANCE,LILLE",0 salarié,0320187430
Conseil en systèmes et logiciels informatiques,"CAPGEMINI TECHNOLOGY SERVICES,LILLE",0 salarié,https://www.fr.sogeti.com/rejoignez-nous/nos-offres-demploi/
Formation continue d'adultes,"HORTIBAT,BEAUVOIS-EN-CAMBRESIS",20 à 49 salariés,Modifier ces informations
Programmation informatique,"ANTENIA,LILLE",20 à 49 salariés,Modifier ces informations
Programmation informatique,"KPF SI,LILLE",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"HTEL NORD,SECLIN",0 salarié,Modifier ces informations
Activités des agences de publicité,"ADREXO,FRETIN",200 à 249 salariés,0320629999
Conseil en systèmes et logiciels informatiques,"G5K FRANCE,LILLE",20 à 49 salariés,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"BORN'ONE,MARCQ-EN-BAROEUL",10 à 19 salariés,0320207720
Recherche-développement en sciences humaines et sociales,"CNRS MOY1800 HAUTS-DE-FRANCE,LILLE",500 à 999 salariés,0320125800
Programmation informatique,"CERISE MEDIA,TOURCOING",100 à 199 salariés,0320234071
Conseil en systèmes et logiciels informatiques,"SERVENTIC,VILLENEUVE-D-ASCQ",0 salarié,Modifier ces informations
Vente à distance sur catalogue spécialisé,"DAMART,ROUBAIX",200 à 249 salariés,Modifier ces informations
Programmation informatique,"INSITACTION,LILLE",20 à 49 salariés,Modifier ces informations
Édition de jeux électroniques,"ADICTIZ,LILLE",20 à 49 salariés,0698871001
Fabrication de produits électroniques grand public,"SOC EXPLOITATION ETS NORMAND,HENIN-BEAUMONT",20 à 49 salariés,0391830070
,,,
,,,
Conseil en systèmes et logiciels informatiques,"IT-ROOM,HEM",20 à 49 salariés,0320828245
"Traitement de données, hébergement et activités connexes","PARAGON BUSINESS PROCESS SERVICES,MARCQ-EN-BAROEUL",100 à 199 salariés,0320121212
Programmation informatique,"LOGIC@L CONSEILS,ROUBAIX",6 à 9 salariés,Modifier ces informations
Edition de logiciels applicatifs,"KEYNEOSOFT,TOURCOING",20 à 49 salariés,0362648132
Conseil en systèmes et logiciels informatiques,"IBM SERVICES CENTER FRANCE,LILLE",0 salarié,0320187430
Conseil en systèmes et logiciels informatiques,"CAPGEMINI TECHNOLOGY SERVICES,LILLE",0 salarié,https://www.fr.sogeti.com/rejoignez-nous/nos-offres-demploi/
Formation continue d'adultes,"HORTIBAT,BEAUVOIS-EN-CAMBRESIS",20 à 49 salariés,Modifier ces informations
Programmation informatique,"ANTENIA,LILLE",20 à 49 salariés,Modifier ces informations
Programmation informatique,"KPF SI,LILLE",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"HTEL NORD,SECLIN",0 salarié,Modifier ces informations
Activités des agences de publicité,"ADREXO,FRETIN",200 à 249 salariés,0320629999
Conseil en systèmes et logiciels informatiques,"G5K FRANCE,LILLE",20 à 49 salariés,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"BORN'ONE,MARCQ-EN-BAROEUL",10 à 19 salariés,0320207720
Recherche-développement en sciences humaines et sociales,"CNRS MOY1800 HAUTS-DE-FRANCE,LILLE",500 à 999 salariés,0320125800
Programmation informatique,"CERISE MEDIA,TOURCOING",100 à 199 salariés,0320234071
Conseil en systèmes et logiciels informatiques,"SERVENTIC,VILLENEUVE-D-ASCQ",0 salarié,Modifier ces informations
Vente à distance sur catalogue spécialisé,"DAMART,ROUBAIX",200 à 249 salariés,Modifier ces informations
Programmation informatique,"INSITACTION,LILLE",20 à 49 salariés,Modifier ces informations
Édition de jeux électroniques,"ADICTIZ,LILLE",20 à 49 salariés,0698871001
Fabrication de produits électroniques grand public,"SOC EXPLOITATION ETS NORMAND,HENIN-BEAUMONT",20 à 49 salariés,0391830070
,,,
,,,
Conseil en systèmes et logiciels informatiques,"IT-ROOM,HEM",20 à 49 salariés,0320828245
"Traitement de données, hébergement et activités connexes","PARAGON BUSINESS PROCESS SERVICES,MARCQ-EN-BAROEUL",100 à 199 salariés,0320121212
Programmation informatique,"LOGIC@L CONSEILS,ROUBAIX",6 à 9 salariés,Modifier ces informations
Edition de logiciels applicatifs,"KEYNEOSOFT,TOURCOING",20 à 49 salariés,0362648132
Conseil en systèmes et logiciels informatiques,"IBM SERVICES CENTER FRANCE,LILLE",0 salarié,0320187430
Conseil en systèmes et logiciels informatiques,"CAPGEMINI TECHNOLOGY SERVICES,LILLE",0 salarié,https://www.fr.sogeti.com/rejoignez-nous/nos-offres-demploi/
Formation continue d'adultes,"HORTIBAT,BEAUVOIS-EN-CAMBRESIS",20 à 49 salariés,Modifier ces informations
Programmation informatique,"ANTENIA,LILLE",20 à 49 salariés,Modifier ces informations
Programmation informatique,"KPF SI,LILLE",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"HTEL NORD,SECLIN",0 salarié,Modifier ces informations
Activités des agences de publicité,"ADREXO,FRETIN",200 à 249 salariés,0320629999
Conseil en systèmes et logiciels informatiques,"G5K FRANCE,LILLE",20 à 49 salariés,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"BORN'ONE,MARCQ-EN-BAROEUL",10 à 19 salariés,0320207720
Recherche-développement en sciences humaines et sociales,"CNRS MOY1800 HAUTS-DE-FRANCE,LILLE",500 à 999 salariés,0320125800
Programmation informatique,"CERISE MEDIA,TOURCOING",100 à 199 salariés,0320234071
Conseil en systèmes et logiciels informatiques,"SERVENTIC,VILLENEUVE-D-ASCQ",0 salarié,Modifier ces informations
Vente à distance sur catalogue spécialisé,"DAMART,ROUBAIX",200 à 249 salariés,Modifier ces informations
Programmation informatique,"INSITACTION,LILLE",20 à 49 salariés,Modifier ces informations
Édition de jeux électroniques,"ADICTIZ,LILLE",20 à 49 salariés,0698871001
Fabrication de produits électroniques grand public,"SOC EXPLOITATION ETS NORMAND,HENIN-BEAUMONT",20 à 49 salariés,0391830070
,,,
,,,
Conseil en systèmes et logiciels informatiques,"IT-ROOM,HEM",20 à 49 salariés,0320828245
"Traitement de données, hébergement et activités connexes","PARAGON BUSINESS PROCESS SERVICES,MARCQ-EN-BAROEUL",100 à 199 salariés,0320121212
Programmation informatique,"LOGIC@L CONSEILS,ROUBAIX",6 à 9 salariés,Modifier ces informations
Edition de logiciels applicatifs,"KEYNEOSOFT,TOURCOING",20 à 49 salariés,0362648132
Conseil en systèmes et logiciels informatiques,"IBM SERVICES CENTER FRANCE,LILLE",0 salarié,0320187430
Conseil en systèmes et logiciels informatiques,"CAPGEMINI TECHNOLOGY SERVICES,LILLE",0 salarié,https://www.fr.sogeti.com/rejoignez-nous/nos-offres-demploi/
Formation continue d'adultes,"HORTIBAT,BEAUVOIS-EN-CAMBRESIS",20 à 49 salariés,Modifier ces informations
Programmation informatique,"ANTENIA,LILLE",20 à 49 salariés,Modifier ces informations
Programmation informatique,"KPF SI,LILLE",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"HTEL NORD,SECLIN",0 salarié,Modifier ces informations
Activités des agences de publicité,"ADREXO,FRETIN",200 à 249 salariés,0320629999
Conseil en systèmes et logiciels informatiques,"G5K FRANCE,LILLE",20 à 49 salariés,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"BORN'ONE,MARCQ-EN-BAROEUL",10 à 19 salariés,0320207720
Recherche-développement en sciences humaines et sociales,"CNRS MOY1800 HAUTS-DE-FRANCE,LILLE",500 à 999 salariés,0320125800
Programmation informatique,"CERISE MEDIA,TOURCOING",100 à 199 salariés,0320234071
Conseil en systèmes et logiciels informatiques,"SERVENTIC,VILLENEUVE-D-ASCQ",0 salarié,Modifier ces informations
Vente à distance sur catalogue spécialisé,"DAMART,ROUBAIX",200 à 249 salariés,Modifier ces informations
Programmation informatique,"INSITACTION,LILLE",20 à 49 salariés,Modifier ces informations
Édition de jeux électroniques,"ADICTIZ,LILLE",20 à 49 salariés,0698871001
Fabrication de produits électroniques grand public,"SOC EXPLOITATION ETS NORMAND,HENIN-BEAUMONT",20 à 49 salariés,0391830070
,,,
,,,
Conseil en systèmes et logiciels informatiques,"IT-ROOM,HEM",20 à 49 salariés,0320828245
"Traitement de données, hébergement et activités connexes","PARAGON BUSINESS PROCESS SERVICES,MARCQ-EN-BAROEUL",100 à 199 salariés,0320121212
Programmation informatique,"LOGIC@L CONSEILS,ROUBAIX",6 à 9 salariés,Modifier ces informations
Edition de logiciels applicatifs,"KEYNEOSOFT,TOURCOING",20 à 49 salariés,0362648132
Conseil en systèmes et logiciels informatiques,"IBM SERVICES CENTER FRANCE,LILLE",0 salarié,0320187430
Conseil en systèmes et logiciels informatiques,"CAPGEMINI TECHNOLOGY SERVICES,LILLE",0 salarié,https://www.fr.sogeti.com/rejoignez-nous/nos-offres-demploi/
Formation continue d'adultes,"HORTIBAT,BEAUVOIS-EN-CAMBRESIS",20 à 49 salariés,Modifier ces informations
Programmation informatique,"ANTENIA,LILLE",20 à 49 salariés,Modifier ces informations
Programmation informatique,"KPF SI,LILLE",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"HTEL NORD,SECLIN",0 salarié,Modifier ces informations
Activités des agences de publicité,"ADREXO,FRETIN",200 à 249 salariés,0320629999
Conseil en systèmes et logiciels informatiques,"G5K FRANCE,LILLE",20 à 49 salariés,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"BORN'ONE,MARCQ-EN-BAROEUL",10 à 19 salariés,0320207720
Recherche-développement en sciences humaines et sociales,"CNRS MOY1800 HAUTS-DE-FRANCE,LILLE",500 à 999 salariés,0320125800
Programmation informatique,"CERISE MEDIA,TOURCOING",100 à 199 salariés,0320234071
Conseil en systèmes et logiciels informatiques,"SERVENTIC,VILLENEUVE-D-ASCQ",0 salarié,Modifier ces informations
Vente à distance sur catalogue spécialisé,"DAMART,ROUBAIX",200 à 249 salariés,Modifier ces informations
Programmation informatique,"INSITACTION,LILLE",20 à 49 salariés,Modifier ces informations
Édition de jeux électroniques,"ADICTIZ,LILLE",20 à 49 salariés,0698871001
Fabrication de produits électroniques grand public,"SOC EXPLOITATION ETS NORMAND,HENIN-BEAUMONT",20 à 49 salariés,0391830070
,,,
,,,
Conseil en systèmes et logiciels informatiques,"IT-ROOM,HEM",20 à 49 salariés,0320828245
"Traitement de données, hébergement et activités connexes","PARAGON BUSINESS PROCESS SERVICES,MARCQ-EN-BAROEUL",100 à 199 salariés,0320121212
Programmation informatique,"LOGIC@L CONSEILS,ROUBAIX",6 à 9 salariés,Modifier ces informations
Edition de logiciels applicatifs,"KEYNEOSOFT,TOURCOING",20 à 49 salariés,0362648132
Conseil en systèmes et logiciels informatiques,"IBM SERVICES CENTER FRANCE,LILLE",0 salarié,0320187430
Conseil en systèmes et logiciels informatiques,"CAPGEMINI TECHNOLOGY SERVICES,LILLE",0 salarié,https://www.fr.sogeti.com/rejoignez-nous/nos-offres-demploi/
Formation continue d'adultes,"HORTIBAT,BEAUVOIS-EN-CAMBRESIS",20 à 49 salariés,Modifier ces informations
Programmation informatique,"ANTENIA,LILLE",20 à 49 salariés,Modifier ces informations
Programmation informatique,"KPF SI,LILLE",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"HTEL NORD,SECLIN",0 salarié,Modifier ces informations
Activités des agences de publicité,"ADREXO,FRETIN",200 à 249 salariés,0320629999
Conseil en systèmes et logiciels informatiques,"G5K FRANCE,LILLE",20 à 49 salariés,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"BORN'ONE,MARCQ-EN-BAROEUL",10 à 19 salariés,0320207720
Recherche-développement en sciences humaines et sociales,"CNRS MOY1800 HAUTS-DE-FRANCE,LILLE",500 à 999 salariés,0320125800
Programmation informatique,"CERISE MEDIA,TOURCOING",100 à 199 salariés,0320234071
Conseil en systèmes et logiciels informatiques,"SERVENTIC,VILLENEUVE-D-ASCQ",0 salarié,Modifier ces informations
Vente à distance sur catalogue spécialisé,"DAMART,ROUBAIX",200 à 249 salariés,Modifier ces informations
Programmation informatique,"INSITACTION,LILLE",20 à 49 salariés,Modifier ces informations
Édition de jeux électroniques,"ADICTIZ,LILLE",20 à 49 salariés,0698871001
Fabrication de produits électroniques grand public,"SOC EXPLOITATION ETS NORMAND,HENIN-BEAUMONT",20 à 49 salariés,0391830070
,,,
,,,
Conseil en systèmes et logiciels informatiques,"IT-ROOM,HEM",20 à 49 salariés,0320828245
"Traitement de données, hébergement et activités connexes","PARAGON BUSINESS PROCESS SERVICES,MARCQ-EN-BAROEUL",100 à 199 salariés,0320121212
Programmation informatique,"LOGIC@L CONSEILS,ROUBAIX",6 à 9 salariés,Modifier ces informations
Edition de logiciels applicatifs,"KEYNEOSOFT,TOURCOING",20 à 49 salariés,0362648132
Conseil en systèmes et logiciels informatiques,"IBM SERVICES CENTER FRANCE,LILLE",0 salarié,0320187430
Conseil en systèmes et logiciels informatiques,"CAPGEMINI TECHNOLOGY SERVICES,LILLE",0 salarié,https://www.fr.sogeti.com/rejoignez-nous/nos-offres-demploi/
Formation continue d'adultes,"HORTIBAT,BEAUVOIS-EN-CAMBRESIS",20 à 49 salariés,Modifier ces informations
Programmation informatique,"ANTENIA,LILLE",20 à 49 salariés,Modifier ces informations
Programmation informatique,"KPF SI,LILLE",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"HTEL NORD,SECLIN",0 salarié,Modifier ces informations
Activités des agences de publicité,"ADREXO,FRETIN",200 à 249 salariés,0320629999
Conseil en systèmes et logiciels informatiques,"G5K FRANCE,LILLE",20 à 49 salariés,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"BORN'ONE,MARCQ-EN-BAROEUL",10 à 19 salariés,0320207720
Recherche-développement en sciences humaines et sociales,"CNRS MOY1800 HAUTS-DE-FRANCE,LILLE",500 à 999 salariés,0320125800
Programmation informatique,"CERISE MEDIA,TOURCOING",100 à 199 salariés,0320234071
Conseil en systèmes et logiciels informatiques,"SERVENTIC,VILLENEUVE-D-ASCQ",0 salarié,Modifier ces informations
Vente à distance sur catalogue spécialisé,"DAMART,ROUBAIX",200 à 249 salariés,Modifier ces informations
Programmation informatique,"INSITACTION,LILLE",20 à 49 salariés,Modifier ces informations
Édition de jeux électroniques,"ADICTIZ,LILLE",20 à 49 salariés,0698871001
Fabrication de produits électroniques grand public,"SOC EXPLOITATION ETS NORMAND,HENIN-BEAUMONT",20 à 49 salariés,0391830070
,,,
,,,
Conseil en systèmes et logiciels informatiques,"IT-ROOM,HEM",20 à 49 salariés,0320828245
"Traitement de données, hébergement et activités connexes","PARAGON BUSINESS PROCESS SERVICES,MARCQ-EN-BAROEUL",100 à 199 salariés,0320121212
Programmation informatique,"LOGIC@L CONSEILS,ROUBAIX",6 à 9 salariés,Modifier ces informations
Edition de logiciels applicatifs,"KEYNEOSOFT,TOURCOING",20 à 49 salariés,0362648132
Conseil en systèmes et logiciels informatiques,"IBM SERVICES CENTER FRANCE,LILLE",0 salarié,0320187430
Conseil en systèmes et logiciels informatiques,"CAPGEMINI TECHNOLOGY SERVICES,LILLE",0 salarié,https://www.fr.sogeti.com/rejoignez-nous/nos-offres-demploi/
Formation continue d'adultes,"HORTIBAT,BEAUVOIS-EN-CAMBRESIS",20 à 49 salariés,Modifier ces informations
Programmation informatique,"ANTENIA,LILLE",20 à 49 salariés,Modifier ces informations
Programmation informatique,"KPF SI,LILLE",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"HTEL NORD,SECLIN",0 salarié,Modifier ces informations
Activités des agences de publicité,"ADREXO,FRETIN",200 à 249 salariés,0320629999
Conseil en systèmes et logiciels informatiques,"G5K FRANCE,LILLE",20 à 49 salariés,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"BORN'ONE,MARCQ-EN-BAROEUL",10 à 19 salariés,0320207720
Recherche-développement en sciences humaines et sociales,"CNRS MOY1800 HAUTS-DE-FRANCE,LILLE",500 à 999 salariés,0320125800
Programmation informatique,"CERISE MEDIA,TOURCOING",100 à 199 salariés,0320234071
Conseil en systèmes et logiciels informatiques,"SERVENTIC,VILLENEUVE-D-ASCQ",0 salarié,Modifier ces informations
Vente à distance sur catalogue spécialisé,"DAMART,ROUBAIX",200 à 249 salariés,Modifier ces informations
Programmation informatique,"INSITACTION,LILLE",20 à 49 salariés,Modifier ces informations
Édition de jeux électroniques,"ADICTIZ,LILLE",20 à 49 salariés,0698871001
Fabrication de produits électroniques grand public,"SOC EXPLOITATION ETS NORMAND,HENIN-BEAUMONT",20 à 49 salariés,0391830070
,,,
,,,
Conseil en systèmes et logiciels informatiques,"IT-ROOM,HEM",20 à 49 salariés,0320828245
"Traitement de données, hébergement et activités connexes","PARAGON BUSINESS PROCESS SERVICES,MARCQ-EN-BAROEUL",100 à 199 salariés,0320121212
Programmation informatique,"LOGIC@L CONSEILS,ROUBAIX",6 à 9 salariés,Modifier ces informations
Edition de logiciels applicatifs,"KEYNEOSOFT,TOURCOING",20 à 49 salariés,0362648132
Conseil en systèmes et logiciels informatiques,"IBM SERVICES CENTER FRANCE,LILLE",0 salarié,0320187430
Conseil en systèmes et logiciels informatiques,"CAPGEMINI TECHNOLOGY SERVICES,LILLE",0 salarié,https://www.fr.sogeti.com/rejoignez-nous/nos-offres-demploi/
Formation continue d'adultes,"HORTIBAT,BEAUVOIS-EN-CAMBRESIS",20 à 49 salariés,Modifier ces informations
Programmation informatique,"ANTENIA,LILLE",20 à 49 salariés,Modifier ces informations
Programmation informatique,"KPF SI,LILLE",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"HTEL NORD,SECLIN",0 salarié,Modifier ces informations
Activités des agences de publicité,"ADREXO,FRETIN",200 à 249 salariés,0320629999
Conseil en systèmes et logiciels informatiques,"G5K FRANCE,LILLE",20 à 49 salariés,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"BORN'ONE,MARCQ-EN-BAROEUL",10 à 19 salariés,0320207720
Recherche-développement en sciences humaines et sociales,"CNRS MOY1800 HAUTS-DE-FRANCE,LILLE",500 à 999 salariés,0320125800
Programmation informatique,"CERISE MEDIA,TOURCOING",100 à 199 salariés,0320234071
Conseil en systèmes et logiciels informatiques,"SERVENTIC,VILLENEUVE-D-ASCQ",0 salarié,Modifier ces informations
Vente à distance sur catalogue spécialisé,"DAMART,ROUBAIX",200 à 249 salariés,Modifier ces informations
Programmation informatique,"INSITACTION,LILLE",20 à 49 salariés,Modifier ces informations
Édition de jeux électroniques,"ADICTIZ,LILLE",20 à 49 salariés,0698871001
Fabrication de produits électroniques grand public,"SOC EXPLOITATION ETS NORMAND,HENIN-BEAUMONT",20 à 49 salariés,0391830070
,,,
,,,
Conseil en systèmes et logiciels informatiques,"IT-ROOM,HEM",20 à 49 salariés,0320828245
"Traitement de données, hébergement et activités connexes","PARAGON BUSINESS PROCESS SERVICES,MARCQ-EN-BAROEUL",100 à 199 salariés,0320121212
Programmation informatique,"LOGIC@L CONSEILS,ROUBAIX",6 à 9 salariés,Modifier ces informations
Edition de logiciels applicatifs,"KEYNEOSOFT,TOURCOING",20 à 49 salariés,0362648132
Conseil en systèmes et logiciels informatiques,"IBM SERVICES CENTER FRANCE,LILLE",0 salarié,0320187430
Conseil en systèmes et logiciels informatiques,"CAPGEMINI TECHNOLOGY SERVICES,LILLE",0 salarié,https://www.fr.sogeti.com/rejoignez-nous/nos-offres-demploi/
Formation continue d'adultes,"HORTIBAT,BEAUVOIS-EN-CAMBRESIS",20 à 49 salariés,Modifier ces informations
Programmation informatique,"ANTENIA,LILLE",20 à 49 salariés,Modifier ces informations
Programmation informatique,"KPF SI,LILLE",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"HTEL NORD,SECLIN",0 salarié,Modifier ces informations
Activités des agences de publicité,"ADREXO,FRETIN",200 à 249 salariés,0320629999
Conseil en systèmes et logiciels informatiques,"G5K FRANCE,LILLE",20 à 49 salariés,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"BORN'ONE,MARCQ-EN-BAROEUL",10 à 19 salariés,0320207720
Recherche-développement en sciences humaines et sociales,"CNRS MOY1800 HAUTS-DE-FRANCE,LILLE",500 à 999 salariés,0320125800
Programmation informatique,"CERISE MEDIA,TOURCOING",100 à 199 salariés,0320234071
Conseil en systèmes et logiciels informatiques,"SERVENTIC,VILLENEUVE-D-ASCQ",0 salarié,Modifier ces informations
Vente à distance sur catalogue spécialisé,"DAMART,ROUBAIX",200 à 249 salariés,Modifier ces informations
Programmation informatique,"INSITACTION,LILLE",20 à 49 salariés,Modifier ces informations
Édition de jeux électroniques,"ADICTIZ,LILLE",20 à 49 salariés,0698871001
Fabrication de produits électroniques grand public,"SOC EXPLOITATION ETS NORMAND,HENIN-BEAUMONT",20 à 49 salariés,0391830070
,,,
,,,
Conseil en systèmes et logiciels informatiques,"IT-ROOM,HEM",20 à 49 salariés,0320828245
